timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
0,981.0,5,19,0.2618760016937665,1.69549485424616,0.21098601777073717,0.022045082855456227,20,16,0.08004403672132815
1,961.0,5,19,0.10883053733415375,1.0705720911343188,0.20490064571263705,0.009782908360351252,20,13,0.057136326045599706
2,941.0,5,19,-0.06421134439266954,0.7888432598176289,0.13259987442028492,0.0007513914553926532,0,9,0.049021674086957845
3,921.0,5,19,-0.028601570540704536,0.892771225406489,0.18888431793341073,0.017831028760810733,0,17,0.05033157649674379
4,901.0,5,19,-0.016015862331682708,0.8966240005907807,0.21171980821487463,0.006795963492504232,0,15,0.04853615222427704
5,881.0,5,19,-0.021025771393958132,0.6833909815676938,0.13036786387007865,0.0009196692704026476,0,16,0.03476861001863542
6,861.0,5,19,-0.12464785625369974,0.8151643383687798,0.1508313700518849,0.0,0,10,0.04169641813808554
7,841.0,5,19,0.15631830707828406,0.7945984548813015,0.10464762214805481,0.024472783418442175,20,16,0.03189888056462727
8,821.0,5,19,-0.1360257957400388,0.8727895352234325,0.17339694818058238,0.007514999014538365,0,12,0.029707062050997123
9,801.0,5,19,0.2631656632260603,0.911568546927423,0.17748114817022856,0.04772350800727524,20,18,0.03599088151120067
10,781.0,5,19,-0.03743854178603424,0.9633739228638964,0.25681752102305444,0.03243330206484212,0,16,0.032984557728143925
11,761.0,5,19,-0.008475459168501741,0.655369636114403,0.12344273591716548,0.0004768813462516056,0,10,0.026179590924838812
12,741.0,5,19,0.13309794125818614,0.6766728737381564,0.07777159715974763,0.005251838627126474,20,18,0.024280320820071543
13,721.0,5,19,-0.21558979157739677,0.6452268920529287,0.08275943455402004,0.009206987989094487,0,16,0.021486172662432912
14,701.0,5,19,0.20708993475435547,0.7623727518760569,0.14947234111337623,0.04751244300487569,20,18,0.024123307232537906
15,681.0,5,19,-0.13022019630698917,0.8380629333514378,0.08322017402341463,0.0009268280580327515,0,12,0.01979065811923595
16,661.0,5,19,-0.1181690993978561,1.152766800548413,0.2559722567577262,0.019833139578541596,0,9,0.020422042281019938
