timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
0,981.0,5,19,-0.11968717587687656,0.7510761290841494,0.20864996916676026,0.0,0,13,0.0408073437501464
1,961.0,5,19,-0.05925609372764799,0.7894470615562293,0.26164631293513585,0.006046448636818524,0,11,0.04323326979685123
2,941.0,5,19,-0.05411275574748612,0.5641056110403799,0.16578796620302058,0.007868278358972244,0,17,0.032896950347016826
3,921.0,5,19,0.01888370383616895,0.6661304249007525,0.16298880862640777,0.0,20,11,0.03875063999412208
4,901.0,5,19,0.0640060189739271,0.7440594736250643,0.12807377123005975,0.014135551225588652,20,10,0.039575315848485955
5,881.0,5,19,-0.15681531920767222,0.5974242037207579,0.06414376667623933,0.006975316696321334,0,17,0.03409808093221647
6,861.0,5,19,0.31231943275397317,0.7583297949388159,0.12412838705148241,0.0,20,8,0.042075616124302447
7,841.0,5,19,0.2897755180995277,0.6145733828264348,0.07952540741659722,0.0,20,9,0.0368847917953044
8,821.0,5,19,0.045508091767312554,0.4182754269108848,0.07750023553040605,0.0,20,8,0.02426327125806558
9,801.0,5,19,-0.10222145359346838,0.41318747397349853,0.08027154308456168,0.002806913547190597,0,12,0.02437157260377808
10,781.0,5,19,-0.10348203666778588,0.45222692255538083,0.12491554763111692,0.0009109884240225609,0,15,0.027387160399802324
11,761.0,5,19,-0.11923133589847668,0.3417524832967259,0.08002253578052568,0.0015522276246590062,0,11,0.02063738404782489
12,741.0,5,19,-0.007690923931346854,0.3365530514915325,0.09472768052787386,0.022269072097502163,0,17,0.02042398596573488
13,721.0,5,19,0.06710637454333526,0.3294068681531924,0.06984815804374944,0.0,20,10,0.0202498520537428
14,701.0,5,19,0.05484152696611638,0.35318808539541796,0.08495226533810027,0.0,20,10,0.021692781706685278
15,681.0,5,19,0.016358620802778584,0.2917955838377306,0.06159763429770456,0.007408366778401687,20,17,0.01682971453197345
16,661.0,5,19,-0.07246465993348568,0.3334617287765714,0.05660236429566434,0.0053589382596162085,0,17,0.01923148675912701
17,641.0,5,19,-0.15900532184296645,0.2950873494902655,0.06429343179495792,0.0036887188119882714,0,11,0.01612273996416857
18,621.0,5,19,0.014842821294947928,0.389104585661689,0.08899424129118308,0.005823515111626664,20,12,0.02014891565028177
19,601.0,5,19,0.05271795368826855,0.36601098015857825,0.028322219070547956,0.0,20,8,0.018682992050259917
20,581.0,5,19,-0.04254544504121177,0.384978878850294,0.04523006007070861,0.0,0,10,0.019555409134461958
21,561.0,5,19,0.10709953973401261,0.45041073716746316,0.1358089648764339,0.007657381347484652,20,14,0.021662705760105545
22,541.0,5,19,0.029719977039776642,0.5255484215065245,0.09452565058416602,0.03451811786934204,20,15,0.021772876327797286
23,521.0,5,19,-0.019132760962710344,0.4798486187558746,0.11959757615868254,0.00395374271210051,0,12,0.018212211224747848
24,501.0,5,19,0.06232681313045509,0.5369540127239577,0.13220522365963366,0.0032434256589491907,20,16,0.020122089237100814
25,481.0,5,19,0.10408141028358939,0.5509833606917869,0.1596243947291794,0.032288108216145486,20,19,0.01786769968751728
26,461.0,5,19,0.1055492479887468,0.5254790270500518,0.1720523187758109,0.0,20,14,0.0162974180425454
27,441.0,5,19,0.14636704192005223,0.6143007471644143,0.18401302495060884,0.0063624276557866805,20,16,0.01776367064451829
28,421.0,5,19,-0.08961478248639977,0.5402433702541778,0.0607144036987294,0.0009558552126786895,0,13,0.015004711512649793
29,401.0,5,19,-0.06064868661938072,0.5417281508346619,0.06636553500292613,0.009044742239519827,0,11,0.012826567276501782
30,381.0,5,19,-0.010035532934556807,0.7026888197672047,0.0934128868907574,0.005086323505026288,0,13,0.013839785805139903
31,361.0,5,19,-0.018672148623637863,0.7770795178706448,0.19897027946592588,0.000800099181792062,0,12,0.014455072764524068
32,341.0,5,19,-0.06479089972476015,0.6861143698479039,0.13591766546243397,0.028388945167882245,0,13,0.012289592611669292
33,321.0,5,19,0.08673776138452616,0.5980012103333935,0.09946796505212335,0.0,20,11,0.010515468043480136
34,301.0,5,19,0.1383999504462168,0.6084408637606662,0.12370251548374933,0.0,20,11,0.010609275541373397
35,281.0,5,19,0.0512893547906589,0.6460849262158238,0.16279748651009335,0.003485038378234038,20,14,0.011946151414678363
